t, train_err, test_err 
0, 0.06779999999999997, 0.1622
1, 0.007399999999999962, 0.10640000000000005
2, 0.0008000000000000229, 0.1048
3, 0.0006000000000000449, 0.10619999999999996
4, 0.00039999999999995595, 0.10540000000000005
5, 0.00019999999999997797, 0.10419999999999996
