t, train_err, test_err 
0, 0.06740000000000002, 0.14959999999999996
1, 0.022800000000000042, 0.11199999999999999
2, 0.01319999999999999, 0.10860000000000003
3, 0.013399999999999967, 0.10880000000000001
4, 0.012800000000000034, 0.10760000000000003
5, 0.010399999999999965, 0.10760000000000003
