t, train_err, test_err 
0, 0.10760000000000003, 0.14
1, 0.08660000000000001, 0.11639999999999995
2, 0.09199999999999997, 0.12039999999999995
3, 0.09119999999999995, 0.12160000000000004
4, 0.08960000000000001, 0.11819999999999997
5, 0.09079999999999999, 0.12039999999999995
